id,exp_name,nr_of_series,nr_of_interactions,population_size,dataset,dataset_split,available_channels,disable_channels,amount_disabled_channels,sensor_noise,sensor_std,observation_noise,observation_std,scene_sampling,topic_sampling,similarity_threshold,align,entrenchment_incf,entrenchment_decf,entrenchment_li,trash_threshold,slow_threshold,conceptualisation_heuristics,:speaker-competitors,:hearer-competitors,weight_update_strategy,initial_weight,weight_incf,weight_decf,switch_condition,switch_conditions_after_n_interactions,stage_parameters
1,runtime-1,1,1000000,10,clevr,train,:clevr,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,0.0,-0.1,:heuristic-1,t,nil,:j-interpolation,0,1,-5,:none,0,nil
2,runtime-2,1,1000000,10,clevr,train,:clevr,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,0.0,-0.1,:heuristic-1,nil,t,:j-interpolation,0,1,-5,:none,0,nil
3,runtime-3,1,1000000,10,clevr,train,:clevr,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,0.0,-0.1,:heuristic-1,t,t,:j-interpolation,0,1,-5,:none,0,nil
4,runtime-4,1,1000000,10,clevr,train,:clevr,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,0.0,-0.1,:heuristic-1,nil,nil,:j-interpolation,0,1,-5,:none,0,nil
5,runtime-5,1,1000000,10,clevr,train,:clevr,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,0.0,-0.1,:heuristic-1,t,nil,:j-interpolation,0,1,-5,:none,0,nil
6,runtime-6,1,1000000,10,clevr,train,:clevr,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,0.0,-0.1,:heuristic-1,nil,t,:j-interpolation,0,1,-5,:none,0,nil
7,runtime-7,1,1000000,10,clevr,train,:clevr,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,0.0,-0.1,:heuristic-1,t,t,:j-interpolation,0,1,-5,:none,0,nil
8,runtime-8,1,1000000,10,clevr,train,:clevr,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,0.0,-0.1,:heuristic-1,nil,nil,:j-interpolation,0,1,-5,:none,0,nil
9,runtime-9,1,1000000,10,gqaglove50,train,:gqaglove50,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,0.0,-0.1,:heuristic-1,t,nil,:j-interpolation,0,1,-5,:none,0,nil
10,runtime-10,1,1000000,10,gqaglove50,train,:gqaglove50,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,0.0,-0.1,:heuristic-1,nil,t,:j-interpolation,0,1,-5,:none,0,nil
11,runtime-11,1,1000000,10,gqaglove50,train,:gqaglove50,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,0.0,-0.1,:heuristic-1,t,t,:j-interpolation,0,1,-5,:none,0,nil
12,runtime-12,1,1000000,10,gqaglove50,train,:gqaglove50,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,0.0,-0.1,:heuristic-1,nil,nil,:j-interpolation,0,1,-5,:none,0,nil
13,runtime-13,1,1000000,10,gqaglove50,train,:gqaglove50,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,0.0,-0.1,:heuristic-1,t,nil,:j-interpolation,0,1,-5,:none,0,nil
14,runtime-14,1,1000000,10,gqaglove50,train,:gqaglove50,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,0.0,-0.1,:heuristic-1,nil,t,:j-interpolation,0,1,-5,:none,0,nil
15,runtime-15,1,1000000,10,gqaglove50,train,:gqaglove50,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,0.0,-0.1,:heuristic-1,t,t,:j-interpolation,0,1,-5,:none,0,nil
16,runtime-16,1,1000000,10,gqaglove50,train,:gqaglove50,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,0.0,-0.1,:heuristic-1,nil,nil,:j-interpolation,0,1,-5,:none,0,nil