id,exp_name,nr_of_series,nr_of_interactions,population_size,dataset,dataset_split,available_channels,disable_channels,amount_disabled_channels,sensor_noise,sensor_std,observation_noise,observation_std,scene_sampling,topic_sampling,similarity_threshold,align,entrenchment_incf,entrenchment_decf,entrenchment_li,trash_threshold,slow_threshold,conceptualisation_heuristics,speaker_competitors,hearer_competitors,weight_update_strategy,initial_weight,weight_incf,weight_decf,switch_condition,switch_conditions_after_n_interactions,stage_parameters
1,tacl-1,1,2000000,10,dinov2,train,:dinov2,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,0.0,-0.1,:heuristic-1,nil,nil,:j-interpolation,0,1,-1,:after-n-interactions,500000,(((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy)))
2,tacl-2,1,2000000,10,dinov2,train,:dinov2,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,0.0,0.51,:heuristic-1,nil,nil,:j-interpolation,0,1,-1,:after-n-interactions,500000,(((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy)))
3,tacl-3,1,2000000,10,dinov2,train,:dinov2,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,0.0,-0.1,:heuristic-1,nil,nil,:j-interpolation,0,1,-5,:after-n-interactions,500000,(((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy)))
4,tacl-4,1,2000000,10,dinov2,train,:dinov2,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,0.0,0.51,:heuristic-1,nil,nil,:j-interpolation,0,1,-5,:after-n-interactions,500000,(((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy)))
5,tacl-5,1,2000000,10,dinov2,train,:dinov2,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.2,-0.1,-0.02,0.0,-0.1,:heuristic-1,nil,nil,:j-interpolation,0,1,-1,:after-n-interactions,500000,(((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy)))
6,tacl-6,1,2000000,10,dinov2,train,:dinov2,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.2,-0.1,-0.02,0.0,0.51,:heuristic-1,nil,nil,:j-interpolation,0,1,-1,:after-n-interactions,500000,(((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy)))
7,tacl-7,1,2000000,10,dinov2,train,:dinov2,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.2,-0.1,-0.02,0.0,-0.1,:heuristic-1,nil,nil,:j-interpolation,0,1,-5,:after-n-interactions,500000,(((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy)))
8,tacl-8,1,2000000,10,dinov2,train,:dinov2,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.2,-0.1,-0.02,0.0,0.51,:heuristic-1,nil,nil,:j-interpolation,0,1,-5,:after-n-interactions,500000,(((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy)))
9,tacl-9,1,2000000,10,dinov2,train,:dinov2,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,0.0,-0.1,:heuristic-1,nil,nil,:j-interpolation,0,5,-1,:after-n-interactions,500000,(((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy)))
10,tacl-10,1,2000000,10,dinov2,train,:dinov2,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.2,-0.1,-0.02,0.0,-0.1,:heuristic-1,nil,nil,:j-interpolation,0,5,-1,:after-n-interactions,500000,(((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy)))